,X,y,data_index
190,[ 90.  77. 132.  25.  12.   8.],31.0,[  4 966]
191,[31. 90. 97.  1. 25. 12.],27.0,[  4 967]
192,[ 45.  24. 117.  34.  13.  21.],63.0,[  5 923]
193,[ 63.  45. 140.   9.  34.  13.],63.0,[  5 924]
194,[ 63.  63. 146.  38.   9.  34.],76.0,[  5 925]
195,[ 76.  63. 143.  25.  38.   9.],92.0,[  5 926]
196,[ 92.  76. 162.   7.  25.  38.],68.0,[  5 927]
197,[ 68.  92. 151.  35.   7.  25.],73.0,[  5 928]
198,[ 73.  68. 142.   8.  35.   7.],75.0,[  5 929]
199,[ 75.  73. 154.  21.   8.  35.],70.0,[  5 930]
200,[ 70.  75. 140.  20.  21.   8.],70.0,[  5 931]
201,[ 70.  70. 131.   7.  20.  21.],55.0,[  5 932]
202,[ 55.  70. 133.  14.   7.  20.],55.0,[  5 933]
203,[ 55.  55. 106.  13.  14.   7.],65.0,[  5 934]
204,[ 65.  55. 130.  20.  13.  14.],56.0,[  5 935]
205,[ 56.  65. 115.   9.  20.  13.],55.0,[  5 936]
206,[ 55.  56. 126.  20.   9.  20.],55.0,[  5 937]
207,[ 55.  55. 136.   4.  20.   9.],62.0,[  5 938]
208,[ 62.  55. 120.  34.   4.  20.],84.0,[  5 939]
209,[ 84.  62. 131.  12.  34.   4.],67.0,[  5 940]
210,[ 67.  84. 130.  25.  12.  34.],62.0,[  5 941]
211,[ 62.  67. 132.   9.  25.  12.],76.0,[  5 942]
212,[ 76.  62. 137.  29.   9.  25.],72.0,[  5 943]
213,[ 72.  76. 107.  16.  29.   9.],73.0,[  5 944]
214,[ 73.  72. 115.  25.  16.  29.],71.0,[  5 945]
215,[ 71.  73. 109.  17.  25.  16.],62.0,[  5 946]
216,[ 62.  71. 115.  22.  17.  25.],71.0,[  5 947]
217,[ 71.  62. 122.  18.  22.  17.],68.0,[  5 948]
218,[ 68.  71. 152.  23.  18.  22.],79.0,[  5 949]
219,[ 79.  68. 120.  12.  23.  18.],73.0,[  5 950]
220,[ 73.  79. 136.  12.  12.  23.],68.0,[  5 951]
221,[ 68.  73. 114.  27.  12.  12.],81.0,[  5 952]
222,[ 67.  58. 107.  26.  11.  33.],55.0,[  5 956]
223,[ 55.  67. 110.   5.  26.  11.],69.0,[  5 957]
224,[69. 55. 80. 13.  5. 26.],54.0,[  5 958]
225,[ 60.  48. 135.  31.  23.  38.],80.0,[  5 962]
226,[ 80.  60. 155.  16.  31.  23.],74.0,[  5 963]
227,[ 74.  80. 162.  16.  16.  31.],64.0,[  5 964]
228,[ 64.  74. 167.  10.  16.  16.],67.0,[  5 965]
229,[ 67.  64. 163.  23.  10.  16.],80.0,[  5 966]
230,[ 80.  67. 160.   4.  23.  10.],70.0,[  5 967]
231,[169.  71. 426. 101.  26.  53.],205.0,[  6 923]
232,[205. 169. 454.  26. 101.  26.],212.0,[  6 924]
233,[212. 205. 460.  90.  26. 101.],208.0,[  6 925]
234,[208. 212. 445.  74.  90.  26.],202.0,[  6 926]
235,[202. 208. 437.  43.  74.  90.],209.0,[  6 927]
236,[209. 202. 474. 111.  43.  74.],223.0,[  6 928]
237,[223. 209. 425.  20. 111.  43.],186.0,[  6 929]
238,[186. 223. 392.  60.  20. 111.],183.0,[  6 930]
239,[183. 186. 380.  85.  60.  20.],155.0,[  6 931]
240,[155. 183. 336.  31.  85.  60.],185.0,[  6 932]
241,[185. 155. 341.  64.  31.  85.],149.0,[  6 933]
242,[149. 185. 346.  48.  64.  31.],158.0,[  6 934]
243,[158. 149. 335.  53.  48.  64.],165.0,[  6 935]
244,[165. 158. 371.  48.  53.  48.],164.0,[  6 936]
245,[164. 165. 320.  69.  48.  53.],138.0,[  6 937]
246,[138. 164. 370.   5.  69.  48.],151.0,[  6 938]
247,[151. 138. 355.  67.   5.  69.],174.0,[  6 939]
248,[174. 151. 395.  29.  67.   5.],187.0,[  6 940]
249,[187. 174. 410.  89.  29.  67.],186.0,[  6 941]
250,[186. 187. 382.  32.  89.  29.],173.0,[  6 942]
251,[173. 186. 383.  64.  32.  89.],230.0,[  6 943]
252,[230. 173. 368.  72.  64.  32.],199.0,[  6 944]
253,[199. 230. 373.  60.  72.  64.],205.0,[  6 945]
254,[205. 199. 350.  52.  60.  72.],212.0,[  6 946]
255,[212. 205. 387.  72.  52.  60.],195.0,[  6 947]
256,[195. 212. 435.  61.  72.  52.],201.0,[  6 948]
257,[201. 195. 415.  82.  61.  72.],207.0,[  6 949]
258,[207. 201. 437.  49.  82.  61.],190.0,[  6 950]
259,[190. 207. 396.  31.  49.  82.],227.0,[  6 951]
260,[227. 190. 449.  80.  31.  49.],213.0,[  6 952]
261,[162. 209. 334.  68.  28. 105.],168.0,[  6 956]
262,[168. 162. 336.   9.  68.  28.],159.0,[  6 957]
263,[159. 168. 291.  63.   9.  68.],148.0,[  6 958]
264,[210. 154. 443.  96.  55.  99.],218.0,[  6 962]
265,[218. 210. 485.  70.  96.  55.],225.0,[  6 963]
266,[225. 218. 547.  49.  70.  96.],268.0,[  6 964]
267,[268. 225. 530.  44.  49.  70.],244.0,[  6 965]
268,[244. 268. 536.  91.  44.  49.],283.0,[  6 966]
269,[283. 244. 584.  19.  91.  44.],235.0,[  6 967]
270,[ 57.  37. 162.  42.  15.  26.],80.0,[  7 923]
271,[ 80.  57. 202.  16.  42.  15.],87.0,[  7 924]
272,[ 87.  80. 203.  53.  16.  42.],87.0,[  7 925]
273,[ 87.  87. 206.  39.  53.  16.],98.0,[  7 926]
274,[ 98.  87. 223.  15.  39.  53.],98.0,[  7 927]
